count, date
5549406,2019-10-28 14:06:03
5549441,2019-10-28 14:06:13
5549548,2019-10-28 14:06:23
5549597,2019-10-28 14:06:34
5549597,2019-10-28 14:06:43
5549605,2019-10-28 14:06:54
5550155,2019-10-28 14:07:04
5550155,2019-10-28 14:07:13
5550186,2019-10-28 14:07:23
5550238,2019-10-28 14:07:34
5550238,2019-10-28 14:07:43
5550307,2019-10-28 14:07:54
5550382,2019-10-28 14:08:04
5550424,2019-10-28 14:08:14
5550424,2019-10-28 14:08:23
5550429,2019-10-28 14:08:33
5550444,2019-10-28 14:08:43
5550505,2019-10-28 14:08:54
5550505,2019-10-28 14:09:03
5550542,2019-10-28 14:09:14
5550542,2019-10-28 14:09:25
5550582,2019-10-28 14:09:35
5550582,2019-10-28 14:09:43
5550583,2019-10-28 14:09:53
5550699,2019-10-28 14:10:03
5550776,2019-10-28 14:10:15
5550776,2019-10-28 14:10:23
5550817,2019-10-28 14:10:33
5550886,2019-10-28 14:10:43
5550886,2019-10-28 14:10:53
5550893,2019-10-28 14:11:05
5550893,2019-10-28 14:11:13
5550906,2019-10-28 14:11:23
5550971,2019-10-28 14:11:35
5551025,2019-10-28 14:11:43
5551042,2019-10-28 14:11:54
5551198,2019-10-28 14:12:05
5551205,2019-10-28 14:12:15
5551205,2019-10-28 14:12:25
5551221,2019-10-28 14:12:35
5552231,2019-10-28 14:12:43
5552268,2019-10-28 14:12:53
5552290,2019-10-28 14:13:03
5552419,2019-10-28 14:13:14
5552421,2019-10-28 14:13:25
5552421,2019-10-28 14:13:33
5552472,2019-10-28 14:13:45
5552484,2019-10-28 14:13:55
5552495,2019-10-28 14:14:05
5552512,2019-10-28 14:14:15
5552552,2019-10-28 14:14:23
5552564,2019-10-28 14:14:35
5552599,2019-10-28 14:14:45
5552666,2019-10-28 14:14:55
5552747,2019-10-28 14:15:05
5552801,2019-10-28 14:15:15
5552801,2019-10-28 14:15:25
5553012,2019-10-28 14:15:33
5553022,2019-10-28 14:15:45
5553286,2019-10-28 14:15:53
5553391,2019-10-28 14:16:05
5553391,2019-10-28 14:16:15
5553501,2019-10-28 14:16:23
5553702,2019-10-28 14:16:35
5553799,2019-10-28 14:16:45
5553920,2019-10-28 14:16:55
5554003,2019-10-28 14:17:05
5554071,2019-10-28 14:17:15
5554071,2019-10-28 14:17:23
5554104,2019-10-28 14:17:33
5554172,2019-10-28 14:17:43
5554172,2019-10-28 14:17:53
5554216,2019-10-28 14:18:03
5554216,2019-10-28 14:18:13
5554264,2019-10-28 14:18:23
5554264,2019-10-28 14:18:35
5554294,2019-10-28 14:18:43
5554330,2019-10-28 14:18:54
5554361,2019-10-28 14:19:05
5554443,2019-10-28 14:19:14
5554508,2019-10-28 14:19:25
5554508,2019-10-28 14:19:34
5554533,2019-10-28 14:19:44
5554583,2019-10-28 14:19:55
5554603,2019-10-28 14:20:04
5554653,2019-10-28 14:20:15
5554653,2019-10-28 14:20:24
5554663,2019-10-28 14:20:34
5554668,2019-10-28 14:20:44
5554765,2019-10-28 14:20:55
5554765,2019-10-28 14:21:04
5554870,2019-10-28 14:21:14
5555051,2019-10-28 14:21:25
5555103,2019-10-28 14:21:35
5555118,2019-10-28 14:21:45
5555118,2019-10-28 14:21:54
5555153,2019-10-28 14:22:04
5555205,2019-10-28 14:22:14
5555215,2019-10-28 14:22:24
5555275,2019-10-28 14:22:34
5555348,2019-10-28 14:22:45
5555348,2019-10-28 14:22:54
5555353,2019-10-28 14:23:04
5555376,2019-10-28 14:23:14
5555426,2019-10-28 14:23:24
5555468,2019-10-28 14:23:34
5555485,2019-10-28 14:23:45
5555485,2019-10-28 14:23:54
5555497,2019-10-28 14:24:04
5555524,2019-10-28 14:24:14
5555596,2019-10-28 14:24:24
5555606,2019-10-28 14:24:35
5555661,2019-10-28 14:24:45
5555716,2019-10-28 14:24:55
5555716,2019-10-28 14:25:04
5555766,2019-10-28 14:25:14
5555817,2019-10-28 14:25:24
5555894,2019-10-28 14:25:34
5555944,2019-10-28 14:25:44
5555964,2019-10-28 14:25:54
5555984,2019-10-28 14:26:04
5556096,2019-10-28 14:26:15
5556146,2019-10-28 14:26:25
5556146,2019-10-28 14:26:34
5556151,2019-10-28 14:26:44
5556181,2019-10-28 14:26:54
5556226,2019-10-28 14:27:04
5556232,2019-10-28 14:27:14
5556367,2019-10-28 14:27:24
5556435,2019-10-28 14:27:35
5556474,2019-10-28 14:27:44
5556483,2019-10-28 14:27:55
5556488,2019-10-28 14:28:05
5556488,2019-10-28 14:28:14
5556604,2019-10-28 14:28:25
5556604,2019-10-28 14:28:34
5556611,2019-10-28 14:28:44
5556690,2019-10-28 14:28:55
5556722,2019-10-28 14:29:05
5556722,2019-10-28 14:29:14
5556862,2019-10-28 14:29:25
5556862,2019-10-28 14:29:34
5556917,2019-10-28 14:29:44
5557223,2019-10-28 14:29:54
5557263,2019-10-28 14:30:05
5557263,2019-10-28 14:30:14
5557314,2019-10-28 14:30:24
5557498,2019-10-28 14:30:34
5557519,2019-10-28 14:30:44
