epoch, date
1572621559299,11368829
1572621569305,11368941
1572621579299,11368941
1572621589301,11368951
1572621599311,11368996
1572621609323,11369017
1572621619322,11369033
1572621629323,11369059
1572621639350,11369076
1572621649343,11369076
1572621659357,11369217
1572621669357,11369217
1572621679353,11369219
1572621689357,11369220
1572621699361,11369335
1572621709389,11369631
1572621719383,11369657
1572621729386,11369657
1572621739444,11369721
1572621749406,11369721
1572621759410,11369779
1572621769447,11369858
1572621779432,11370036
1572621789442,11370036
1572621799457,11370181
1572621809548,11370181
1572621819463,11370213
1572621829468,11370233
1572621839604,11370284
1572621849538,11370339
1572621859485,11370389
1572621868133,11370389
1572621879527,11370523
1572621889510,11370523
1572621899507,11370553
1572621909519,11370603
1572621919520,11370679
1572621929554,11370735
1572621939544,11370787
1572621949565,11370829
1572621959550,11370874
1572621969555,11370896
1572621979557,11370896
1572621989554,11370974
1572621999558,11370979
1572622009574,11371009
1572622018198,11371099
1572622029592,11371189
1572622039620,11371234
1572622049609,11371321
1572622059602,11371321
1572622069608,11371331
1572622079618,11371336
1572622089763,11371537
1572622098251,11371537
1572622109775,11371597
1572622119647,11371638
1572622129681,11371704
1572622138281,11371704
1572622149680,11371829
1572622158305,11371829
1572622169683,11371897
1572622178300,11371897
1572622188312,11371922
1572622198320,11371969
1572622209713,11371970
1572622218333,11371970
1572622230283,11372079
1572622238340,11372079
1572622248358,11384147
1572622259750,11384150
1572622268363,11384150
1572622279774,11384315
1572622288367,11384315
1572622298389,11384506
1572622308400,11384515
1572622319791,11384528
1572622328401,11384528
1572622339956,11384605
1572622348395,11384605
1572622358413,11384630
1572622368444,11384630
1572622379855,11384755
1572622388532,11384755
1572622399850,11384760
1572622408585,11384760
1572622419867,11384951
1572622428480,11384951
1572622439890,11384972
1572622448470,11384972
1572622459891,11385042
1572622468483,11385042
1572622479930,11385124
1572622488506,11385124
1572622499950,11386186
1572622508549,11386186
1572622519950,11386203
1572622528546,11386203
1572622539974,11386256
1572622548557,11386256
1572622558561,11386277
1572622569975,11386312
1572622578583,11386312
1572622589989,11386367
1572622598587,11386367
1572622610010,11386385
1572622620132,11386385
1572622628646,11386385
1572622640046,11386471
1572622648662,11386471
1572622660060,11386483
1572622668684,11386483
1572622678693,11386515
1572622690205,11386660
1572622698671,11386660
1572622710213,11386666
1572622718699,11386666
1572622730120,11386712
1572622738733,11386712
1572622750118,11386738
1572622758745,11386738
1572622768756,11386770
1572622780152,11386894
1572622788735,11386894
1572622800151,11386894
1572622808771,11386894
1572622820183,11386931
1572622828786,11386931
1572622840196,11387002
1572622848776,11387002
1572622860255,11387029
1572622868827,11387029
1572622880213,11387103
1572622890233,11387103
1572622898819,11387103
1572622910245,11387284
1572622918866,11387284
1572622930252,11387379
1572622938878,11387379
1572622950270,11387409
1572622958865,11387409
1572622970301,11387454
1572622978906,11387454
1572622988899,11387489
1572623000301,11387505
1572623010426,11387578
1572623018940,11387578
1572623030351,11387594
1572623040340,11387594
1572623050354,11387618
1572623060341,11387664
1572623070351,11387761
1572623080405,11387846
1572623090375,11387860
1572623100372,11387860
1572623110384,11388031
1572623120393,11388060
1572623130409,11388080
1572623140446,11388145
1572623150421,11388145
1572623160416,11388181
1572623170423,11388181
1572623180422,11388203
1572623190443,11388209
1572623200440,11388241
1572623210448,11388293
1572623220466,11388329
1572623230465,11388433
1572623240478,11388453
1572623250479,11388453
1572623260489,11388459
1572623270502,11388535
1572623280498,11388535
1572623290518,11388594
1572623300550,11388594
1572623310628,11388616
1572623320535,11388622
1572623330547,11388627
1572623340536,11388670
1572623350575,11388695
1572623360563,11388695
1572623370728,11388769
1572623379162,11388769
1572623390592,11388779
1572623400600,11388812
1572623410619,11388849
1572623420594,11388849
1572623430613,11388880
1572623440611,11388905
1572623450635,11388960
1572623460635,11388960
1572623470628,11389025
1572623481051,11389055
1572623490654,11389060
1572623500670,11389106
1572623510668,11389106
1572623520685,11389133
1572623530671,11389238
1572623540680,11389324
1572623550689,11389360
1572623560687,11389366
1572623570733,11389366
1572623580697,11389422
1572623590841,11389437
1572623599300,11389437
1572623610847,11389581
1572623619323,11389581
1572623629360,11389645
1572623640764,11389690
1572623649375,11389690
1572623660766,11389713
1572623669392,11389713
1572623680785,11389871
1572623689393,11389871
1572623700786,11389933
1572623709373,11389933
1572623720800,11389958
1572623729407,11389958
1572623740821,11390348
1572623749442,11390348
1572623760849,11390348
1572623769454,11390348
1572623781235,11390619
1572623789471,11390619
1572623799486,11390632
1572623810921,11390633
1572623819494,11390633
1572623829499,11390638
1572623840892,11390638
1572623850900,11390647
1572623859497,11390647
1572623870936,11390610
1572623879537,11390610
1572623891125,11390759
1572623899540,11390759
1572623911036,11390788
1572623919523,11390788
1572623930952,11390994
1572623940970,11390995
1572623949552,11390995
1572623960984,11391037
1572623969600,11391037
1572623979600,11391062
1572623991007,11391128
1572623999618,11391128
1572624011024,11392190
1572624019640,11392190
1572624031038,11392231
1572624039655,11392231
1572624051059,11392232
1572624059668,11392232
1572624071066,11392271
1572624081077,11392277
1572624089694,11392277
1572624101137,11392336
1572624109676,11392336
1572624119697,11392336
1572624129728,11392439
1572624141168,11392484
1572624149740,11392484
1572624159744,11392511
1572624171146,11392547
1572624179737,11392547
1572624191175,11392689
1572624199752,11392689
1572624211276,11393067
1572624221209,11393079
1572624229805,11393079
1572624241189,11393092
1572624249813,11393092
1572624261214,11393097
1572624269808,11393097
1572624281228,11393110
1572624289834,11393110
1572624301239,11393209
1572624309855,11393209
1572624321255,11393215
1572624329873,11393215
1572624339885,11393240
1572624351274,11393265
1572624359894,11393265
1572624371310,11393488
1572624379908,11393488
1572624389913,11393529
1572624401316,11393584
1572624411335,11393664
1572624419939,11393664
1572624431371,11393689
1572624439944,11393689
1572624451355,11393800
1572624459966,11393800
1572624469945,11393859
1572624481362,11393864
1572624490004,11393864
1572624501570,11393938
1572624511540,11393995
1572624519982,11393995
1572624531408,11394021
1572624541426,11394146
1572624551424,11394211
1572624561434,11394212
1572624571441,11394233
1572624581454,11394436
1572624591468,11394471
1572624601460,11394471
1572624611485,11394481
1572624621490,11394481
1572624631528,11394603
1572624641508,11394663
